house_price,rental_agency,city,bedrooms,surface
1950,Hoen Vastgoedbeheer ,Amsterdam,4,150
1595,A&N Vastgoed,Den Haag,1,110
495,NederWoon verhuurmakelaars Deventer,Deventer,2,30
500,Regent Makelaars,Heerenveen,1,19
1375,BenHousing,Rotterdam,3,80
1795,The Real Estate Company,Den Haag,5,125
1750,Tweelwonen.nl Rotterdam,Rotterdam,3,85
1100,HouseHunting Tilburg,Tilburg,4,83
625,Huren in Twente,Enschede,1,45
1950,Expats. Amsterdam Rentals ,Amsterdam,4,130
1500,De la Haye Makelaardij o.g.,Amsterdam,2,50
1350,Lutz Real Estate,Den Haag,3,95
2500,Expats. Amsterdam Rentals ,Amsterdam,3,90
1385,Holland2Stay,Eindhoven,2,84
1600,Krieger & Witte Makelaars,Oude-Tonge,3,129
1500,De la Haye Makelaardij o.g.,Amsterdam,2,50
1000,iRooms and Houses,Rotterdam,1,25
825,NOVA Housing,Reijmerstok,3,100
1750,AmsterHomes,Amsterdam,3,62
1250,Expats. Amsterdam Rentals ,Amsterdam,1,45
1400,Nu Woonruimte,Haarlem,3,70
1250,Domica Eindhoven,Eindhoven,2,90
985,OurDomain Amsterdam Diemen,Diemen,2,47
1600,Maasstad Woningverhuur,Rotterdam,3,122
1275,ViaDaan,Almere,3,83
1195,ViaDaan,Lelystad,2,83
855, Vastgoed 010,Rotterdam,1,34
1450,Holland2Stay,Eindhoven,3,94
1320,Gruno Vastgoed B.V.,Groningen,4,80
990,Smart Wonen,Enschede,2,80
325,BM Vastgoed,Arnhem,2,11
1500,Yamsterdam Apartments,Amsterdam,3,75
875,Holland2Stay,Eindhoven,2,45
1250,NumberXII Exclusive Real Estate,Den Haag,2,50
900,BVwonen,Tilburg,2,53
1750,DdeG Vastgoed bv,Utrecht,3,40
1750,Van Huis Uit Makelaars,Amsterdam,2,45
870,Interhouse verhuurmakelaars Hilversum & Almere,Hilversum,2,45
1100,Spitman Makelaars,Arnhem,3,70
1800,Wobeco Housing Agency,Den Haag,3,120
506,De Huissleutel,Tilburg,1,19
2250,De Graaf & Groot Makelaars,Amsterdam,4,132
1275,Regio56 Makelaars & Huisvesting ,Eindhoven,3,92
1495,Stoit Groep,Eindhoven,5,104
1225,Amstel Property Agency,Amstelveen,2,55
439,Siebbeles Vastgoed,Arnhem,1,16
1140,vb&t Verhuurmakelaars,Hilversum,3,78
1360,vb&t Verhuurmakelaars,Hilversum,4,106
900,M&G Housing,Maastricht,3,30
1800,Amstel Housing Amsterdam,Amsterdam,4,94
1750,The Rental Agency Amsterdam,Amsterdam,3,55
3250,Comfortable Staff Housing,Bussum,5,150
1500,Wonen Hartje Rotterdam,Rotterdam,4,132
1650,Wonen Hartje Rotterdam,Rotterdam,2,104
985,OurDomain Amsterdam Diemen,Diemen,2,47
1350,Hevesta Bemiddeling,Amsterdam,1,37
850,Lutz Real Estate,Den Haag,3,50
1100,Wonen Hartje Rotterdam,Rotterdam,2,51
1295,Housing Solutions Breda,Breda,3,92
850,Housing Solutions Breda,Breda,2,65
1175,ViaDaan,Weesp,2,58
1350,ViaDaan,Monnickendam,2,62
1500,NEXT Beheer,Rotterdam,4,80
1650,Linger OG,Amsterdam,3,75
1025,Altijd Wonen,Amstelveen,2,40
412,Siebbeles Vastgoed,Arnhem,2,16
